                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.80488,                0.49647,                0.53354,                0.89369,                0.96431,                0.98807,                0.97928,                0.84074,                 0.9641,                0.99108,                0.97955,                0.66058,                0.57619,                0.56292,                0.47926,                0.84206,               0.007723,               0.007723,               0.007723
                     25,                0.82073,                0.48113,                0.53744,                0.89457,                0.96606,                0.98875,                0.98014,                0.87399,                 0.9631,                0.98582,                0.97865,                0.64926,                0.46374,                0.50244,                0.45677,                 0.8402,               0.007624,               0.007624,               0.007624
                     26,                0.79686,                0.50286,                0.52814,                0.90663,                0.97029,                0.98807,                0.97825,                0.83355,                0.97095,                0.98875,                0.97852,                0.64258,                0.58845,                0.53902,                 0.4724,                0.84948,               0.007525,               0.007525,               0.007525
                     27,                 0.7959,                 0.5072,                0.52271,                0.90357,                0.96819,                0.99212,                0.97892,                0.86492,                0.96711,                0.99238,                0.97941,                0.68753,                0.49901,                0.46275,                0.44504,                0.83016,               0.007426,               0.007426,               0.007426
                     28,                 0.7931,                0.47308,                0.51038,                0.89864,                0.96787,                0.99634,                0.97731,                0.87617,                0.96677,                0.99522,                0.97774,                0.70087,                0.50368,                0.43996,                0.45316,                0.82403,               0.007327,               0.007327,               0.007327
                     29,                0.77118,                0.49142,                0.54814,                0.89817,                0.97092,                0.99189,                0.98152,                0.85162,                0.96926,                0.98785,                0.98134,                0.64409,                0.53035,                0.56782,                0.44146,                0.83569,               0.007228,               0.007228,               0.007228
                     30,                 0.7618,                0.51883,                0.50883,                 0.8811,                0.96769,                0.98411,                0.97977,                0.87934,                 0.9672,                 0.9821,                0.97978,                 0.7032,                0.50806,                0.40135,                0.46223,                0.82399,               0.007129,               0.007129,               0.007129
                     31,                0.72521,                0.43299,                0.49806,                0.88578,                 0.9722,                0.99167,                0.98097,                 0.8535,                0.97155,                0.99257,                0.98145,                0.65826,                 0.5719,                0.66219,                0.46005,                 0.8446,                0.00703,                0.00703,                0.00703
                     32,                0.80107,                0.55641,                0.51399,                0.88439,                0.97138,                0.99295,                0.98048,                0.86073,                0.97006,                0.99149,                0.98082,                0.65382,                0.50816,                0.62521,                0.42903,                0.83856,               0.006931,               0.006931,               0.006931
                     33,                0.76533,                0.51185,                0.49953,                0.89183,                0.97469,                0.99707,                0.98101,                0.89197,                0.97534,                0.99662,                0.98144,                0.69619,                 0.4376,                0.49974,                 0.4009,                0.82115,               0.006832,               0.006832,               0.006832
                     34,                0.74425,                0.49588,                0.49302,                 0.8849,                0.97291,                 0.9942,                0.97801,                0.88215,                0.97354,                0.99366,                0.97822,                0.65724,                0.48811,                0.54919,                0.42591,                0.82897,               0.006733,               0.006733,               0.006733
                     35,                0.71629,                0.48492,                0.47946,                0.88756,                 0.9749,                0.99647,                0.97756,                0.90116,                0.97595,                 0.9964,                0.97784,                0.69775,                0.42795,                0.47077,                 0.4002,                0.81624,               0.006634,               0.006634,               0.006634
                     36,                0.71271,                0.46043,                0.48053,                0.87321,                 0.9764,                0.99597,                0.98087,                0.88748,                0.97735,                0.99685,                0.98104,                0.70128,                0.45512,                0.48628,                0.41004,                0.81688,               0.006535,               0.006535,               0.006535
                     37,                0.67589,                0.43109,                0.44546,                0.87189,                0.97787,                0.99434,                 0.9803,                0.89334,                0.97277,                0.98894,                0.97956,                0.65832,                0.45222,                0.52591,                0.41348,                0.82123,               0.006436,               0.006436,               0.006436
                     38,                0.71972,                0.51062,                0.45975,                 0.8759,                0.97596,                0.99591,                0.97964,                0.89032,                0.97685,                0.99689,                0.98009,                0.70499,                0.46056,                0.45259,                0.42431,                0.81483,               0.006337,               0.006337,               0.006337
                     39,                0.68987,                  0.461,                0.46072,                0.86841,                 0.9755,                0.99459,                0.98219,                0.88851,                0.97175,                0.99071,                0.98091,                0.65611,                0.47036,                0.54651,                0.44083,                0.81946,               0.006238,               0.006238,               0.006238
                     40,                0.71511,                0.45832,                0.48885,                 0.8747,                0.97016,                0.99491,                0.97811,                 0.8938,                0.96796,                0.99266,                  0.978,                 0.6756,                0.47051,                0.52552,                0.44211,                0.82007,               0.006139,               0.006139,               0.006139
                     41,                0.66348,                0.46233,                0.47051,                 0.8758,                0.97346,                0.99685,                0.98011,                0.90159,                0.97171,                0.99347,                0.97984,                0.67133,                0.42272,                0.56165,                0.41115,                0.81477,                0.00604,                0.00604,                0.00604
                     42,                0.68235,                0.45284,                0.46297,                0.88077,                0.97556,                0.99662,                0.98117,                0.89369,                0.97468,                0.99572,                0.98105,                0.68979,                0.46057,                0.53486,                0.40622,                0.82021,               0.005941,               0.005941,               0.005941
